district,prostitution,vehicle_theft,total,year
Bayview,11,2121,15739,2003
Central,70,1193,13622,2003
Ingleside,5,2319,14008,2003
Mission,713,2063,21163,2003
Northern,581,1879,18975,2003
Park,2,1207,8219,2003
Richmond,15,1081,7692,2003
Southern,18,1426,25692,2003
Taraval,10,1665,11329,2003
Tenderloin,527,371,12737,2003
Bayview,7,985,14711,2015
Central,44,552,18565,2015
Ingleside,5,1368,13414,2015
Mission,66,1198,18542,2015
Northern,42,945,20092,2015
Park,1,640,9341,2015
Richmond,9,561,9082,2015
Southern,96,795,30095,2015
Taraval,81,789,11966,2015
Tenderloin,23,113,10735,2015
